id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19020833,✪SunnyDouble 4m to Downtown walk to subway freepk✪,25203946,Eder,,Dorchester,42.31158,-71.0637,Private room,46,2,12,04/29/2019,0.55,16,362
19049092,"Luxurious, spacious 3 bdr apartment in Back Bay!",39536288,A. Nessim,,Bay Village,42.34873,-71.06884,Entire home/apt,270,1,10,04/17/2019,0.42,3,58
19050865,Brownstone|Contemporary Newbury Place|1BR 1BA #6,814298,Brent,,Back Bay,42.3495,-71.08486,Entire home/apt,195,2,41,05/04/2019,1.94,89,92
19051657,Charming Quaint|Heart of Back Bay|1BR 1BA #5,814298,Brent,,Back Bay,42.34907,-71.08478,Entire home/apt,195,2,36,04/22/2019,1.67,89,70
19052102,Brownstone|Shopping & Food on Newbury|1BR 1BA #4,814298,Brent,,Back Bay,42.34901,-71.08554,Entire home/apt,195,2,29,05/01/2019,1.27,89,85
19055159,#1Next Samuel Adam Brewery Boston mass,132606746,Javier,,Jamaica Plain,42.31549,-71.10151,Private room,100,1,19,09/11/2018,0.85,5,61
19065795,Modern Upscale Newbury Street|1BR 1BA #1,814298,Brent,,Back Bay,42.3498,-71.08535,Entire home/apt,237,2,36,04/30/2019,1.54,89,102
19065830,Trendy Flat|Bright + Light Southie| 1BR 1BA #201,814298,Brent,,South Boston,42.34372,-71.05729,Entire home/apt,165,2,48,04/30/2019,2.09,89,52
19065836,New|Shoppers|Foodies|Newbury|Suite 1BR 1BA #2,814298,Brent,,Back Bay,42.34836,-71.08564,Entire home/apt,195,2,58,04/30/2019,2.5,89,79
19068608,Sunny Fenway Park/Boylston St location,131085245,Leonard,,Fenway,42.3473,-71.09318,Entire home/apt,139,1,117,05/03/2019,4.99,1,8
19071169,Tall Ships Private Rooftop and Penthouse,133144559,Erin,,Charlestown,42.37487,-71.06052,Entire home/apt,600,1,0,,,1,0
19071875,Big newly renovated 3 bedroom condo in East Boston,15943555,Monya,,East Boston,42.38025,-71.03973,Entire home/apt,300,2,6,10/01/2017,0.27,3,15
19073668,The Golden Room! w/ A/C,124799156,Maureen,,Roslindale,42.27494,-71.1182,Private room,59,2,5,08/05/2018,0.29,5,335
19081087,So Central|Trendy Apt. in Southie 1BR 1BA #301,814298,Brent,,South Boston,42.34223,-71.05716,Entire home/apt,165,2,58,05/03/2019,2.56,89,47
19081593,Southie Chill Spot|1 BR 1BA #401,814298,Brent,,South Boston,42.34166,-71.05619,Entire home/apt,165,2,32,05/01/2019,1.44,89,73
19084632,Private Room in Back Bay for the Summer!,20511679,Alia,,Back Bay,42.35033,-71.08705,Private room,98,2,3,04/16/2019,0.23,1,73
19087238,Charming One Bedroom With Private Garden,30163409,Caryn,,South End,42.34299,-71.0776,Entire home/apt,200,3,11,08/01/2018,0.48,1,0
19100282,"Large, sunny hilltop home, nature lovers' paradise",133415983,Christina,,Jamaica Plain,42.30323,-71.13293,Entire home/apt,450,3,3,08/29/2018,0.31,1,50
19102037,Desirable Boston Neighborhood Near Downtown&Beach1,33656138,Stacy,,Dorchester,42.31582,-71.06132,Private room,58,1,4,04/28/2019,2.93,4,289
19102461,Private Room in very spacious JP House.( Lilac Rm),133457702,Selim,,Jamaica Plain,42.32409,-71.10639,Private room,95,1,88,05/12/2019,3.8,5,53
19102481,Desirable Boston Neighborhood Near Downtown&Beach2,33656138,Stacy,,Dorchester,42.31506,-71.05948,Private room,60,1,6,04/30/2019,3.75,4,235
19102964,Sunflower Private Room in spacious J.P. house,133457702,Selim,,Jamaica Plain,42.32296,-71.10563,Private room,95,1,86,04/20/2019,3.74,5,40
19103076,"Large Suite w/ Private Bath,Hot tub,great location",133457702,Selim,,Jamaica Plain,42.32308,-71.10722,Private room,155,1,69,04/17/2019,3.04,5,35
19103623,Private Rm by Harvard Sq- NO SHARING Rm with other,116104711,Keith,,Allston,42.36054,-71.13252,Private room,68,3,35,10/25/2018,1.79,2,0
19111535,☀️Stay with a Superhost! Free street parking,11826335,Rich,,Jamaica Plain,42.32106,-71.11078,Entire home/apt,175,2,63,05/13/2019,2.7,3,47
19111774,Bedroom for summer( Now till beginning of August),77095867,Lei,,Brighton,42.34261,-71.14229,Private room,30,1,4,08/08/2017,0.17,1,0
19113658,4B Boston Dwtn Whole 2BR Suite perfect 4 tour/biz,90527363,Haiying,,Chinatown,42.3475,-71.06038,Entire home/apt,179,1,24,05/02/2019,1.09,6,39
19115109,4A Boston Downtown Whole 2BR/4Bds Apt walk2all,90527363,Haiying,,Chinatown,42.34778,-71.06101,Entire home/apt,179,1,34,05/03/2019,1.52,6,29
19115310,"Spacious 2 bedroom, 2 bathroom apartment in Boston",53555623,Cody,,South Boston,42.34216,-71.05681,Entire home/apt,250,2,11,03/03/2019,0.98,1,1
19115873,"Stayloom’s Upscale Oasis | Private deck, near T",4776690,Dan,,Dorchester,42.32272,-71.05559,Entire home/apt,630,1,95,04/26/2019,4.07,4,285
19117781,1880's Boston Townhouse on Redline!,31035862,Bill / Corey,,Dorchester,42.29338,-71.06378,Private room,65,1,230,05/15/2019,9.83,2,226
19119469,Bright Spacious  Cozy and Convenient,133607885,Rhonda,,Roxbury,42.31749,-71.09332,Private room,75,1,7,11/04/2018,0.34,2,0
19121881,Huge entire 3 bedrooms unit near airport& downtown,66665179,Zhenwei,,East Boston,42.38891,-71.00874,Entire home/apt,249,1,1,06/25/2017,0.04,5,0
19123216,✪2 Double beds 4mi to Downtown near subway freepk✪,25203946,Eder,,Dorchester,42.30994,-71.06375,Private room,63,2,32,05/04/2019,1.4,16,316
19138622,19th Century Rehab |City Views|So End 1BD 1BA #4,1444340,Will,,Roxbury,42.33802,-71.08109,Entire home/apt,167,2,43,05/01/2019,1.83,46,106
